不要碰我 Nu mă atinge-mă,阿迪娜·平蒂列,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
我的兄弟叫罗伯特，他是一个大白痴 Mein Bruder heißt Robert und ist ein Idiot,菲利普·格罗因,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
犬之岛 Isle of Dogs,韦斯·安德森,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
博物馆 Museo,阿隆索·帕拉西奥斯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
过境 Transit,克里斯蒂安·佩措尔德,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
多甫拉托夫 Довлатов,小阿列克谢·日耳曼,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
祈祷 La prière,塞德里克·康,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
落难女子 Damsel,大卫·泽尔纳,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
我的女儿 Figlia mia,内森·泽尔纳,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
面目 Twarz,劳拉·比斯普里,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
"别担心，他不会走远的 Don't Worry, He Won't Get Far on Foot",玛高扎塔·施莫夫兹卡,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
伊娃 Eva,格斯·范·桑特,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
货架之间 In den Gängen,伯努瓦·雅克,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
恶魔时节 Ang Panahon ng Halimaw,托马斯·施图伯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
我为楼狂 Toppen av ingenting,拉夫·迪亚兹,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
猪 خوک,阿克塞尔·彼得森,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
女继承者 Las herederas,曼斯·曼斯森,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
基伯龙三日 3 Tage in Quiberon,曼尼·夏希希,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
于特岛7月22日 Utøya 22. juli,马塞洛·马蒂内斯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
墙后的男人们 The Men Behind the Wall,艾米莉·阿特夫,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
我们的疯狂 Madness,埃里克·普派,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
少女失踪 Des jeunes filles disparaissent,若昂·维亚纳,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
宇宙畅行 Solar Walk,雷卡·布奇,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
After/Life,Ulu Braun,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
巴比伦 Babylon,Jayisha Patel,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
蓝 Blau,若昂·萨拉维扎,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
Burkina Brandenburg Komplex,阿尔瓦罗·德尔加多·阿帕里西奥,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
Circle,犬之岛,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
故事之城 City of Tales,祈祷,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
郊狼 Coyote,女继承者,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
帝国谷（栽培径流 ） Imperial Valley (Cultivated Run-Off),阿隆索·帕拉西奥斯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
夏天的去向：青春章节 Onde o Verão Vai: episódios da juventude,曼努埃尔·阿尔卡拉,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
鲁萨 Russa,叶连娜·奥科普娜娅,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
Terremoto Santo,阿迪娜·平蒂列,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
流氓的灵魂 Alma Bandida,杨明明,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
瓦尔德海姆的华尔兹 Waldheims Walzer,胡波,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
面目 Twarz,塞巴斯蒂安·肖,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
彩塑男孩 Retablo,马塞洛·马蒂内斯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
韦斯·安德森 Wes Anderson,黄荣昇,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
安东尼·巴容 Anthony Bajon,Tetsuya Tomina,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
安娜·布伦 Ana Brun,Martín Rodríguez Redondo,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
博物馆 Museo,Tsivia Barkai,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
多甫拉托夫 Довлатов,Banu Sivaci,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
女继承者 Las herederas,André Gil Mata,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
前任萨满 Ex Pajé,Ricky D'Ambrose,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
不要碰我 Nu mă atinge-mă,Julian Pörksen,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
柔情史,Mónica Lairana,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
大象席地而坐,Alessia Chiesa,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
遗漏 La omisión,Pooya Badkoobeh,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
女继承者 Las herederas,Marta Hernaiz Pidal,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
小美,蒂尔曼·辛格,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
蓝风吹拂 Blue Wind Blows,胡波,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
玛丽莲 Marilyn,马塞洛·马蒂内斯,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
红牝 Para Aduma,行定勋,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
贫民窟的鸽子 Güvercin,胡波,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
树 Drvo,菲利普·马泽蒙巴彻尔,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
有关“出现”的注解 Notes on an Appearance,马西奥·海奥隆,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
不知所终 Whatever Happens Next,鲁伯特·艾弗雷特,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
别离床爱 La Cama,格斯·范·桑特,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
无尽的日子 El día que resistía,沙朗·莫克利,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
盛装舞步 Dressage,Martín Rodríguez Redondo,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
那达·卡迪的混乱人生 Kaoticni Zivot Nade Kadic,Jenna Cato Bass,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
卢兹 Luz,克劳蒂亚·普里西拉,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
大象席地而坐,奇科·戈伊夫曼,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
威廉·达福 Willem Dafoe,圣地亚哥·洛萨,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
伊日·门泽尔 Jirí Menzel,Alina Skrzeszewska,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
女继承者 Las herederas,乔丹·席勒,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
河畔 リバーズ・エッジ,Leilah Weinraub,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
大象席地而坐,Irene Lusztig,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
涂样人生 Tinta Bruta,Evangelia Kranioti,2018,金熊奖 Golden Berlin Bear ( Goldener Bär )
